PLAYER,POSITION,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,PA,HBP,SAC,SF,GIDP,GO/AO,XBH,TB,IBB,BABIP,ISO,AB/HR,BB/K,BB%,SO%
Christian Walker,X,AZ,11,12,2,3,1,0,2,2,1,5,0,0,.250,.400,.833,1.233,15,2,0,0,0,1.00,3,10,0,.200,.583,6.00,.200,.067,.333
J.D. Martinez,RF,AZ,62,232,47,70,13,1,29,65,24,74,2,0,.302,.366,.741,1.107,257,0,0,1,13,0.93,43,172,3,.315,.440,8.00,.324,.093,.288
Jeremy Hazelbaker,X,AZ,41,52,10,18,2,2,2,10,9,20,1,0,.346,.443,.577,1.020,61,0,0,0,0,0.56,6,30,2,.533,.231,26.00,.450,.148,.328
Paul Goldschmidt,1B,AZ,155,558,117,166,34,3,36,120,94,147,18,5,.297,.404,.563,.967,665,8,0,4,14,1.08,73,314,15,.343,.265,15.50,.639,.141,.221
Chris Iannetta,C,AZ,89,272,38,69,19,0,17,43,37,87,0,0,.254,.354,.511,.865,316,6,0,1,3,0.86,36,139,0,.308,.257,16.00,.425,.117,.275
Jake Lamb,3B,AZ,149,536,89,133,30,4,30,105,87,152,6,4,.248,.357,.487,.844,635,7,0,5,15,1.06,64,261,13,.287,.239,17.87,.572,.137,.239
AJ Pollock,CF,AZ,112,425,73,113,33,6,14,49,35,71,20,6,.266,.330,.471,.801,466,6,0,0,8,1.13,53,200,1,.291,.205,30.36,.493,.075,.152
David Peralta,RF,AZ,140,525,82,154,31,3,14,57,43,94,8,4,.293,.352,.444,.796,577,6,0,3,7,1.55,48,233,1,.333,.150,37.50,.457,.075,.163
Brandon Drury,2B,AZ,135,445,41,119,37,2,13,63,28,103,1,1,.267,.317,.447,.764,480,5,0,2,9,1.37,52,199,1,.320,.180,34.23,.272,.058,.215
Yasmany Tomas,LF,AZ,47,166,19,40,11,1,8,32,13,50,0,0,.241,.294,.464,.758,180,0,0,1,2,1.26,20,77,0,.294,.223,20.75,.260,.072,.278
Chris Owings,SS,AZ,97,362,41,97,25,1,12,51,17,87,12,2,.268,.299,.442,.741,386,1,2,4,3,0.90,38,160,0,.318,.174,30.17,.195,.044,.225
Ketel Marte,SS,AZ,73,223,30,58,11,2,5,18,29,37,3,1,.260,.345,.395,.740,255,1,0,2,3,0.94,18,88,3,.290,.135,44.60,.784,.114,.145
Daniel Descalso,2B,AZ,131,344,47,80,16,5,10,51,48,89,4,0,.233,.332,.395,.727,398,4,0,2,6,0.74,31,136,0,.283,.163,34.40,.539,.121,.224
Nick Ahmed,SS,AZ,53,167,24,42,8,1,6,21,10,39,3,4,.251,.298,.419,.717,178,1,0,0,6,0.95,15,70,3,.295,.168,27.83,.256,.056,.219
Gregor Blanco,LF,AZ,90,224,43,55,10,3,3,13,31,59,15,1,.246,.337,.357,.694,256,0,1,0,2,0.95,16,80,0,.321,.112,74.67,.525,.121,.230
Ildemaro Vargas,X,AZ,12,13,4,4,1,0,0,4,0,3,0,0,.308,.308,.385,.693,13,0,0,0,1,2.00,1,5,0,.400,.077,-.--,.---,.000,.231
Chris Herrmann,C,AZ,106,226,35,41,7,0,10,27,29,67,5,0,.181,.273,.345,.618,256,0,0,1,1,0.95,17,78,0,.207,.164,22.60,.433,.113,.262
Rey Fuentes,CF,AZ,64,136,19,32,1,2,3,9,8,35,4,1,.235,.278,.338,.616,145,0,1,0,0,1.19,6,46,0,.296,.103,45.33,.229,.055,.241
Jeff Mathis,C,AZ,60,186,13,40,10,2,2,11,14,61,1,0,.215,.277,.323,.600,203,2,1,0,6,0.83,14,60,1,.309,.108,93.00,.230,.069,.300
Adam Rosales,3B,AZ,34,84,10,17,5,0,3,9,1,34,0,1,.202,.227,.369,.596,89,2,1,1,4,1.69,8,31,1,.292,.167,28.00,.029,.011,.382
Robbie Ray,P,AZ,28,53,5,13,2,0,0,2,3,23,0,0,.245,.286,.283,.569,61,0,5,0,0,3.40,2,15,0,.433,.038,-.--,.130,.049,.377
Taijuan Walker,P,AZ,28,52,6,12,1,0,1,5,1,19,0,0,.231,.245,.308,.553,54,0,1,0,1,2.14,2,16,0,.344,.077,52.00,.053,.019,.352
Zack Greinke,P,AZ,33,62,4,13,4,0,0,4,2,18,0,0,.210,.246,.274,.520,70,1,5,0,0,1.12,4,17,0,.295,.065,-.--,.111,.029,.257
Archie Bradley,P,AZ,63,4,0,1,0,0,0,1,0,2,0,0,.250,.250,.250,.500,4,0,0,0,0,1.00,0,1,0,.500,.000,-.--,.---,.000,.500
Kristopher Negron,SS,AZ,14,25,3,4,1,0,0,1,4,7,0,0,.160,.300,.200,.500,31,1,1,0,1,1.50,1,5,0,.222,.040,-.--,.571,.129,.226
John Ryan Murphy,C,AZ,5,7,0,1,1,0,0,1,0,1,0,0,.143,.143,.286,.429,7,0,0,0,1,1.50,1,2,0,.167,.143,-.--,.---,.000,.143
T.J. McFarland,P,AZ,43,5,0,1,0,0,0,0,0,3,0,0,.200,.200,.200,.400,5,0,0,0,0,1.00,0,1,0,.500,.000,-.--,.---,.000,.600
Patrick Corbin,P,AZ,35,56,6,7,0,1,0,0,6,28,0,0,.125,.210,.161,.371,70,0,8,0,0,4.80,1,9,0,.250,.036,-.--,.214,.086,.400
Shelby Miller,P,AZ,4,6,2,0,0,0,0,0,2,3,0,0,.000,.333,.000,.333,9,1,0,0,0,2.00,0,0,0,.000,.000,-.--,.667,.222,.333
Zack Godley,P,AZ,27,42,1,2,0,0,0,2,2,26,0,0,.048,.091,.048,.139,53,0,9,0,0,4.75,0,2,0,.125,.000,-.--,.077,.038,.491
Anthony Banda,P,AZ,8,5,0,0,0,0,0,0,0,3,0,0,.000,.000,.000,.000,6,0,1,0,0,2.00,0,0,0,.000,.000,-.--,.---,.000,.500
Jake Barrett,P,AZ,28,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Silvino Bracho,P,AZ,21,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Andrew Chafin,P,AZ,71,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Jorge De La Rosa,P,AZ,66,0,1,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,2,0,2,0,0,2.00,0,0,0,.---,--,-.--,.---,.000,.000
Rubby De La Rosa,P,AZ,9,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Randall Delgado,P,AZ,26,8,0,0,0,0,0,0,0,3,0,0,.000,.000,.000,.000,9,0,1,0,0,5.00,0,0,0,.000,.000,-.--,.---,.000,.333
David Hernandez,P,AZ,26,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
J.J. Hoover,P,AZ,52,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Matt Koch,P,AZ,1,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Jack Reinheimer,SS,AZ,2,5,0,0,0,0,0,0,0,3,0,0,.000,.000,.000,.000,5,0,0,0,0,1.00,0,0,0,.000,.000,-.--,.---,.000,.600
Fernando Rodney,P,AZ,61,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
James Sherfy,P,AZ,11,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Braden Shipley,P,AZ,10,6,0,0,0,0,0,0,0,2,0,0,.000,.000,.000,.000,6,0,0,0,0,3.00,0,0,0,.000,.000,-.--,.---,.000,.333
Tom Wilhelmsen,P,AZ,27,1,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,1,0,0,0,0,-.--,0,0,0,.---,.000,-.--,.---,.000,1.000
