PLAYER,POSITION,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,PA,HBP,SAC,SF,GIDP,GO/AO,XBH,TB,IBB,BABIP,ISO,AB/HR,BB/K,BB%,SO%
Wade LeBlanc,P,SEA,26,0,0,0,0,0,0,0,1,0,0,0,.000,1.000,.000,1.000,2,0,1,0,0,1.00,0,0,0,.---,--,-.--,.---,.500,.000
Edwin Encarnacion,1B,SEA,65,241,48,58,7,0,21,49,41,55,0,1,.241,.356,.531,.887,289,4,0,3,3,0.54,28,128,0,.220,.290,11.48,.745,.142,.190
Kyle Lewis,RF,SEA,18,71,10,19,5,0,6,13,3,29,0,0,.268,.293,.592,.885,75,0,0,1,0,2.43,11,42,0,.351,.324,11.83,.103,.040,.387
Tom Murphy,C,SEA,76,260,32,71,12,1,18,40,19,87,2,0,.273,.324,.535,.859,281,1,0,1,0,0.72,31,139,0,.340,.262,14.44,.218,.068,.310
Jay Bruce,RF,SEA,47,165,27,35,11,0,14,28,16,53,1,0,.212,.283,.533,.816,184,1,0,2,1,0.41,25,88,0,.210,.321,11.79,.302,.087,.288
Omar Narvaez,C,SEA,132,428,63,119,12,0,22,55,47,92,0,0,.278,.353,.460,.813,482,4,0,3,5,0.65,34,197,1,.306,.182,19.46,.511,.098,.191
Austin Nola,1B,SEA,79,238,37,64,12,1,10,31,23,63,1,0,.269,.342,.454,.796,267,4,1,1,8,0.82,23,108,1,.325,.185,23.80,.365,.086,.236
Kyle Seager,3B,SEA,106,393,55,94,19,1,23,63,44,86,2,2,.239,.321,.468,.789,443,4,0,2,12,0.68,43,184,0,.248,.229,17.09,.512,.099,.194
Shed Long,2B,SEA,42,152,21,40,12,1,5,15,16,40,3,3,.263,.333,.454,.787,168,0,0,0,1,1.18,18,69,0,.327,.191,30.40,.400,.095,.238
Daniel Vogelbach,DH,SEA,144,462,73,96,17,0,30,76,92,149,0,0,.208,.341,.439,.780,558,2,0,2,4,0.74,47,203,2,.232,.232,15.40,.617,.165,.267
Mitch Haniger,RF,SEA,63,246,46,54,13,1,15,32,30,81,4,0,.220,.314,.463,.777,283,5,0,2,3,0.77,29,114,1,.257,.244,16.40,.370,.106,.286
Domingo Santana,LF,SEA,121,451,63,114,20,1,21,69,50,164,8,3,.253,.329,.441,.770,507,2,0,2,11,1.27,42,199,1,.347,.188,21.48,.305,.099,.323
Tim Beckham,SS,SEA,88,304,39,72,21,1,15,47,21,102,1,3,.237,.293,.461,.754,328,3,0,0,7,1.36,37,140,0,.305,.224,20.27,.206,.064,.311
Ryon Healy,3B,SEA,47,169,24,40,16,0,7,26,13,40,0,0,.237,.289,.456,.745,187,1,0,4,1,0.72,23,77,0,.262,.219,24.14,.325,.070,.214
Tim Lopes,LF,SEA,41,111,11,30,7,0,1,12,15,29,6,3,.270,.359,.360,.719,128,1,0,1,1,1.04,8,40,0,.354,.090,111.00,.517,.117,.227
