PLAYER,POSITION,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,PA,HBP,SAC,SF,GIDP,GO/AO,XBH,TB,IBB,BABIP,ISO,AB/HR,BB/K,BB%,SO%
Ketel Marte,CF,AZ,144,569,97,187,36,9,32,92,53,86,10,2,.329,.389,.592,.981,628,4,0,2,7,1.07,77,337,2,.342,.264,17.78,.616,.084,.137
Abraham Almonte,RF,AZ,17,31,11,9,3,1,1,4,7,8,0,0,.290,.421,.548,.969,38,0,0,0,1,1.33,5,17,0,.364,.258,31.00,.875,.184,.211
Zack Greinke,P,AZ,26,48,7,13,4,1,3,8,2,11,1,0,.271,.300,.583,.883,54,0,4,0,2,2.50,8,28,0,.294,.313,16.00,.182,.037,.204
Wilmer Flores,2B,AZ,89,265,31,84,18,0,9,37,15,31,0,0,.317,.361,.487,.848,285,4,0,1,9,0.78,27,129,0,.332,.170,29.44,.484,.053,.109
Eduardo Escobar,3B,AZ,158,636,94,171,29,10,35,118,50,130,5,1,.269,.320,.511,.831,699,3,0,10,8,0.64,74,325,3,.283,.242,18.17,.385,.072,.186
Carson Kelly,C,AZ,111,314,46,77,19,0,18,47,48,79,0,0,.245,.348,.478,.826,365,2,0,1,11,0.85,37,150,10,.271,.232,17.44,.608,.132,.216
Christian Walker,1B,AZ,152,529,86,137,26,1,29,73,67,155,8,1,.259,.348,.476,.824,603,6,0,1,11,0.97,56,252,6,.312,.217,18.24,.432,.111,.257
Domingo Leyba,X,AZ,21,25,6,7,2,1,0,5,4,9,0,0,.280,.367,.440,.807,30,0,0,1,0,0.43,3,11,0,.412,.160,-.--,.444,.133,.300
David Peralta,LF,AZ,99,382,48,105,29,3,12,57,35,87,0,0,.275,.343,.461,.804,423,5,0,1,9,1.33,44,176,3,.327,.186,31.83,.402,.083,.206
Kevin Cron,X,AZ,39,71,12,15,4,0,6,16,4,28,0,1,.211,.269,.521,.790,78,2,0,1,2,1.07,10,37,0,.237,.310,11.83,.143,.051,.359
Alex Avila,C,AZ,63,164,22,34,8,0,9,24,36,68,1,0,.207,.353,.421,.774,201,1,0,0,8,2.26,17,69,7,.287,.213,18.22,.529,.179,.338
Nick Ahmed,SS,AZ,158,556,79,141,33,6,19,82,52,113,8,2,.254,.316,.437,.753,625,4,1,12,15,1.27,58,243,2,.280,.183,29.26,.460,.083,.181
Adam Jones,RF,AZ,137,485,66,126,25,1,16,67,31,101,2,1,.260,.313,.414,.727,528,8,0,3,15,0.98,42,201,2,.296,.155,30.31,.307,.059,.191
Ildemaro Vargas,2B,AZ,92,201,25,54,9,1,6,24,9,24,1,0,.269,.299,.413,.712,211,0,0,1,6,1.48,16,83,0,.279,.144,33.50,.375,.043,.114
Tim Locastro,LF,AZ,91,212,38,53,12,2,1,17,14,44,17,0,.250,.357,.340,.697,250,22,1,1,1,0.83,15,72,0,.310,.090,212.00,.318,.056,.176
Jake Lamb,3B,AZ,78,187,26,36,8,2,6,30,32,55,1,0,.193,.323,.353,.676,226,5,0,2,4,0.78,16,66,1,.234,.160,31.17,.582,.142,.243
John Ryan Murphy,C,AZ,25,62,9,11,3,0,4,7,6,28,0,0,.177,.250,.419,.669,69,0,1,0,0,0.85,7,26,0,.233,.242,15.50,.214,.087,.406
Jarrod Dyson,CF,AZ,130,400,65,92,11,2,7,27,47,86,30,4,.230,.313,.320,.633,452,2,1,2,1,1.08,20,128,0,.275,.090,57.14,.547,.104,.190
Taylor Clarke,P,AZ,23,24,2,6,0,0,1,2,0,10,0,0,.250,.250,.375,.625,25,0,1,0,0,2.00,1,9,0,.385,.125,24.00,.---,.000,.400
Josh Rojas,LF,AZ,41,138,17,30,7,0,2,16,18,41,4,2,.217,.312,.312,.624,157,1,0,0,3,1.16,9,43,0,.295,.094,69.00,.439,.115,.261
Caleb Joseph,C,AZ,20,38,5,8,2,0,0,3,1,10,0,0,.211,.250,.263,.513,41,1,1,0,0,0.50,2,10,0,.286,.053,-.--,.100,.024,.244
Blake Swihart,X,AZ,31,66,9,9,0,0,3,9,4,29,0,0,.136,.186,.273,.459,70,0,0,0,2,1.00,3,18,0,.176,.136,22.00,.138,.057,.414
Zack Godley,P,AZ,27,18,3,3,0,0,0,2,3,9,0,0,.167,.286,.167,.453,22,0,1,0,0,0.17,0,3,0,.333,.000,-.--,.333,.136,.409
Luke Weaver,P,AZ,13,19,2,2,0,0,1,4,0,11,0,0,.105,.100,.263,.363,21,0,1,1,0,0.60,1,5,0,.125,.158,19.00,.---,.000,.524
Jon Duplantier,P,AZ,15,8,1,1,0,0,0,0,0,5,0,0,.125,.125,.125,.250,8,0,0,0,0,2.00,0,1,0,.333,.000,-.--,.---,.000,.625
Zac Gallen,P,AZ,8,9,1,1,0,0,0,1,0,3,0,0,.111,.111,.111,.222,13,0,4,0,0,3.50,0,1,0,.167,.000,-.--,.---,.000,.231
Robbie Ray,P,AZ,34,55,1,4,0,0,0,3,0,28,0,0,.073,.073,.073,.146,60,0,5,0,2,6.00,0,4,0,.148,.000,-.--,.---,.000,.467
Mike Leake,P,AZ,10,20,0,1,0,0,0,1,0,11,0,0,.050,.050,.050,.100,22,0,2,0,0,4.00,0,1,0,.111,.000,-.--,.---,.000,.500
Alex Young,P,AZ,17,25,1,1,0,0,0,0,0,18,0,0,.040,.040,.040,.080,25,0,0,0,0,6.00,0,1,0,.143,.000,-.--,.---,.000,.720
Merrill Kelly,P,AZ,32,52,3,1,0,0,0,2,2,25,0,0,.019,.056,.019,.075,60,0,6,0,2,4.33,0,1,0,.037,.000,-.--,.080,.033,.417
Matt Andriese,P,AZ,54,6,0,0,0,0,0,0,0,3,0,0,.000,.000,.000,.000,6,0,0,0,0,3.00,0,0,0,.000,.000,-.--,.---,.000,.500
Archie Bradley,P,AZ,66,1,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,1,0,0,0,0,-.--,0,0,0,.---,.000,-.--,.---,.000,1.000
Andrew Chafin,P,AZ,77,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Stefan Crichton,P,AZ,28,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
