STATE,NAME,YEAR,AVG,G,PA,AB,R,RBI,H,1B,2B,3B,HR,TB,EB,BB,IBB,HBP,SO,GIDP,SAC,SF,SB,CS,OBP,SLG,TA,G/F,KBB
°h§Ð,´å©vÀs,1990,0.128,58,94,86,7,9,11,8,2,1,0,15,3,3,0,0,9,3,2,3,1,1,0.152,0.174,0.326,1.958,0.33
°h§Ð,§õ©[­õ,1990,0.284,57,128,116,11,10,33,28,4,0,1,40,5,5,0,1,27,4,4,2,2,3,0.315,0.345,0.66,3.429,0.22
°h§Ð,«À¦Ê¤t,1990,0.158,56,176,158,11,11,25,24,1,0,0,26,1,12,0,2,14,4,3,1,0,3,0.225,0.165,0.39,2.237,1
°h§Ð,¶À²M¤å,1990,0.181,55,124,116,13,9,21,13,5,0,3,35,8,7,0,1,21,5,0,0,1,3,0.234,0.302,0.536,1.96,0.38
°h§Ð,³¯¬F½å,1990,0.247,54,188,166,29,20,41,28,10,1,2,59,13,18,2,2,30,1,0,2,8,4,0.324,0.355,0.679,1.256,0.67
°h§Ð,ÂÅ¤å¦¨,1990,0.264,52,117,110,7,9,29,22,5,1,1,39,7,3,0,1,17,2,3,0,1,0,0.289,0.355,0.644,1.577,0.24
°h§Ð,´^¸Î°ê,1990,0.164,52,129,122,10,16,20,16,3,0,1,26,4,3,0,2,30,4,0,2,1,1,0.194,0.213,0.407,1.387,0.17
°h§Ð,§f¤å¥Í,1990,0.164,52,180,159,5,10,26,21,5,0,0,31,5,14,0,0,15,5,7,0,0,1,0.231,0.195,0.426,1.717,0.93
°h§Ð,³¯¯Õ¦ö,1990,0.13,52,127,115,4,4,15,12,2,0,1,20,3,7,0,0,25,3,5,0,1,2,0.18,0.174,0.354,1.162,0.28
°h§Ð,§dªL·Ò,1990,0.277,49,93,83,13,1,23,20,3,0,0,26,3,8,0,2,8,1,0,0,5,4,0.355,0.313,0.668,1.737,1.25
°h§Ð,¿à±R¥ú,1990,0.227,46,128,119,11,2,27,22,5,0,0,32,5,6,0,1,19,2,2,0,0,1,0.27,0.269,0.539,1.5,0.37
°h§Ð,®}¾ã·í,1990,0.234,45,120,111,12,8,26,24,2,0,0,28,2,8,0,1,14,5,0,0,2,1,0.292,0.252,0.544,1.536,0.64
°h§Ð,¾HÄ£µØ,1990,0.208,42,91,72,14,6,15,9,6,0,0,21,6,16,0,1,14,4,2,0,1,0,0.36,0.292,0.652,2.75,1.21
°h§Ð,©P´f²±,1990,0.224,40,81,76,1,9,17,14,3,0,0,20,3,2,0,1,14,4,1,1,0,0,0.25,0.263,0.513,2.133,0.21
