PLAYER,POSITION,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,PA,HBP,SAC,SF,GIDP,GO/AO,XBH,TB,IBB,BABIP,ISO,AB/HR,BB/K,BB%,SO%
Dennis Santana,P,LAD,2,2,0,1,1,0,0,2,0,1,0,0,.500,.500,1.000,1.500,2,0,0,0,0,-.--,1,2,0,1.000,.500,-.--,.---,.000,.500
David Freese,1B,LAD,19,39,9,15,2,1,2,9,6,16,0,0,.385,.489,.641,1.130,47,2,0,0,0,1.00,5,25,0,.619,.256,19.50,.375,.128,.340
Max Muncy,1B,LAD,137,395,75,104,17,2,35,79,79,131,3,0,.263,.391,.582,.973,481,5,0,2,4,0.74,54,230,6,.299,.319,11.29,.603,.164,.272
Justin Turner,3B,LAD,103,365,62,114,31,1,14,52,47,54,2,1,.312,.406,.518,.924,426,12,0,2,10,0.53,46,189,3,.334,.205,26.07,.870,.110,.127
Joc Pederson,LF,LAD,148,395,65,98,27,3,25,56,40,85,1,5,.248,.321,.522,.843,443,4,1,3,6,0.89,55,206,3,.253,.273,15.80,.471,.090,.192
Manny Machado,SS,LAD,66,267,36,73,14,2,13,42,25,53,6,1,.273,.338,.487,.825,296,2,0,2,12,0.99,29,130,6,.296,.213,20.54,.472,.084,.179
Yasiel Puig,RF,LAD,125,405,60,108,21,1,23,63,36,87,15,5,.267,.327,.494,.821,444,1,0,2,15,0.93,45,200,2,.286,.227,17.61,.414,.081,.196
Matt Kemp,LF,LAD,146,462,62,134,25,0,21,85,36,115,0,0,.290,.338,.481,.819,506,1,0,7,14,0.77,46,222,2,.339,.190,22.00,.313,.071,.227
Yasmani Grandal,C,LAD,140,440,65,106,23,2,24,68,72,124,2,1,.241,.349,.466,.815,518,3,0,3,12,1.01,49,205,1,.278,.225,18.33,.581,.139,.239
Cody Bellinger,1B,LAD,162,557,84,145,28,7,25,76,69,151,14,1,.260,.343,.470,.813,632,3,0,3,7,0.80,60,262,9,.313,.210,22.28,.457,.109,.239
Enrique Hernandez,CF,LAD,145,402,67,103,17,3,21,52,50,78,3,0,.256,.336,.470,.806,462,1,4,5,3,0.76,41,189,5,.266,.214,19.14,.641,.108,.169
Chris Taylor,SS,LAD,155,536,85,136,35,8,17,63,55,178,9,6,.254,.331,.444,.775,604,9,0,4,5,0.63,60,238,0,.345,.190,31.53,.309,.091,.295
Corey Seager,SS,LAD,26,101,13,27,5,1,2,13,11,17,0,0,.267,.348,.396,.744,115,2,0,1,2,0.93,8,40,1,.301,.129,50.50,.647,.096,.148
Alex Verdugo,RF,LAD,37,77,11,20,6,0,1,4,8,14,0,0,.260,.329,.377,.706,86,0,1,0,4,1.75,7,29,0,.306,.117,77.00,.571,.093,.163
Brian Dozier,2B,LAD,47,143,16,26,9,0,5,20,24,33,4,0,.182,.300,.350,.650,170,1,0,2,5,0.83,14,50,0,.196,.168,28.60,.727,.141,.194
Kyle Farmer,3B,LAD,39,68,1,16,4,1,0,9,5,15,0,0,.235,.312,.324,.636,77,3,0,1,1,0.73,5,22,1,.296,.088,-.--,.333,.065,.195
Tim Locastro,X,LAD,18,11,6,2,1,0,0,0,2,5,4,0,.182,.357,.273,.630,14,1,0,0,0,1.00,1,3,0,.333,.091,-.--,.400,.143,.357
Hyun Jin Ryu,P,LAD,16,26,4,7,1,0,0,2,2,13,0,0,.269,.321,.308,.629,30,0,2,0,0,3.00,1,8,0,.538,.038,-.--,.154,.067,.433
Clayton Kershaw,P,LAD,27,46,1,11,2,0,0,7,7,11,0,0,.239,.340,.283,.623,57,0,4,0,0,3.67,2,13,0,.314,.043,-.--,.636,.123,.193
Austin Barnes,C,LAD,100,200,32,41,5,0,4,14,31,67,4,3,.205,.329,.290,.619,238,6,1,0,7,1.51,9,58,4,.287,.085,50.00,.463,.130,.282
