PLAYER,POSITION,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,PA,HBP,SAC,SF,GIDP,GO/AO,XBH,TB,IBB,BABIP,ISO,AB/HR,BB/K,BB%,SO%
Buddy Carlyle,P,NYM,27,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,0,0,0,0,-.--,0,1,0,1.000,.000,-.--,.---,.000,.000
Jeurys Familia,P,NYM,76,3,0,2,0,0,0,1,0,0,0,0,.667,.667,.667,1.334,3,0,0,0,0,1.00,0,2,0,.667,.000,-.--,.---,.000,.000
Lucas Duda,1B,NYM,153,514,74,130,27,0,30,92,69,135,3,2,.253,.349,.481,.830,596,9,0,4,9,0.60,57,247,8,.283,.228,17.13,.511,.116,.227
Kirk Nieuwenhuis,X,NYM,61,112,16,29,14,1,3,16,16,39,4,0,.259,.346,.482,.828,130,0,0,2,1,1.30,18,54,3,.361,.223,37.33,.410,.123,.300
Ike Davis,1B,NYM,12,24,4,5,1,0,1,5,6,4,0,0,.208,.367,.375,.742,30,0,0,0,0,1.14,2,9,0,.211,.167,24.00,1.500,.200,.133
Daniel Murphy,2B,NYM,143,596,79,172,37,2,9,57,39,86,13,5,.289,.332,.403,.735,642,2,0,5,15,0.98,48,240,3,.322,.114,66.22,.453,.061,.134
Travis d'Arnaud,C,NYM,108,385,48,93,22,3,13,41,32,64,1,0,.242,.302,.416,.718,421,2,1,1,15,1.02,38,160,5,.259,.174,29.62,.500,.076,.152
Curtis Granderson,RF,NYM,155,564,73,128,27,2,20,66,79,141,8,2,.227,.326,.388,.714,654,6,0,5,1,0.62,49,219,1,.265,.161,28.20,.560,.121,.216
Dilson Herrera,2B,NYM,18,59,6,13,0,1,3,11,7,17,0,0,.220,.303,.407,.710,66,0,0,0,3,0.53,4,24,0,.256,.186,19.67,.412,.106,.258
Juan Lagares,CF,NYM,116,416,46,117,24,3,4,47,20,87,13,4,.281,.321,.382,.703,452,7,3,6,6,1.10,31,159,1,.341,.101,104.00,.230,.044,.192
David Wright,3B,NYM,134,535,54,144,30,1,8,63,42,113,8,5,.269,.324,.374,.698,586,4,0,5,22,0.80,39,200,5,.325,.105,66.88,.372,.072,.193
Bobby Abreu,X,NYM,78,133,12,33,9,0,1,14,20,21,1,0,.248,.342,.338,.680,155,0,0,2,3,1.13,10,45,0,.283,.090,133.00,.952,.129,.135
Eric Campbell,X,NYM,85,190,16,50,9,0,3,16,17,55,3,0,.263,.322,.358,.680,211,1,0,3,5,1.26,12,68,0,.348,.095,63.33,.309,.081,.261
Matthew den Dekker,LF,NYM,53,152,23,38,11,0,0,7,21,34,7,4,.250,.345,.322,.667,174,1,0,0,1,1.35,11,49,0,.322,.072,-.--,.618,.121,.195
Wilmer Flores,SS,NYM,78,259,28,65,13,1,6,29,12,31,1,0,.251,.286,.378,.664,274,1,1,1,6,0.76,20,98,2,.265,.127,43.17,.387,.044,.113
Ruben Tejada,SS,NYM,119,355,30,84,11,0,5,34,50,73,1,2,.237,.342,.310,.652,419,8,4,2,8,0.85,16,110,11,.283,.073,71.00,.685,.119,.174
Chris Young,LF,NYM,88,254,31,52,12,0,8,28,25,54,7,3,.205,.283,.346,.629,287,4,1,3,3,0.46,20,88,2,.226,.142,31.75,.463,.087,.188
Anthony Recker,C,NYM,58,174,18,35,9,0,7,27,10,64,1,1,.201,.246,.374,.620,189,1,2,2,2,0.49,16,65,0,.267,.172,24.86,.156,.053,.339
Eric Young,LF,NYM,100,280,48,64,10,5,1,17,24,60,30,6,.229,.299,.311,.610,316,5,5,2,2,2.40,16,87,1,.285,.082,280.00,.400,.076,.190
Andrew Brown,LF,NYM,19,44,6,8,1,0,2,7,3,15,0,0,.182,.245,.341,.586,49,1,0,1,2,1.44,3,15,0,.214,.159,22.00,.200,.061,.306
