G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,PA,HBP,SAC,SF,GIDP,GO/AO,XBH,TB,IBB,BABIP,ISO,AB/HR,BB/K,BB%,SO%,RANK
103.71428571428571,362.7142857142857,48.0,96.92857142857143,18.0,2.4285714285714284,11.285714285714286,46.142857142857146,34.785714285714285,75.35714285714286,5.571428571428571,2.2142857142857144,0.26235714285714284,0.3258571428571429,0.4049285714285714,0.7307857142857143,407.2142857142857,3.0714285714285716,2.2857142857142856,4.357142857142857,10.0,1.2421428571428572,31.714285714285715,153.64285714285714,2.857142857142857,0.30271428571428566,0.1427142857142857,47.75142857142857,0.5015714285714286,0.08071428571428572,0.18721428571428572,17
84.66666666666667,281.5,31.77777777777778,68.5,13.833333333333334,0.7777777777777778,7.5,29.555555555555557,22.38888888888889,77.05555555555556,5.888888888888889,3.3333333333333335,0.2371111111111111,0.296,0.3597222222222223,0.6557222222222222,310.94444444444446,2.5555555555555554,2.3333333333333335,2.111111111111111,5.888888888888889,1.391111111111111,22.11111111111111,106.38888888888889,0.9444444444444444,0.30483333333333335,0.12244444444444445,76.93222222222224,0.29655555555555557,0.07027777777777777,0.25283333333333335,30
101.5,332.5625,46.8125,85.8125,18.25,1.5625,11.4375,44.3125,35.125,69.75,4.625,1.75,0.254125,0.3283125,0.40850000000000003,0.7368125,374.75,2.8125,1.3125,2.9375,6.5625,0.766875,31.25,141.5,1.8125,0.28912499999999997,0.1545625,43.306875000000005,0.538375,0.093625,0.1853125,4
102.46666666666667,342.26666666666665,44.666666666666664,86.93333333333334,16.466666666666665,1.5333333333333334,11.933333333333334,42.266666666666666,32.13333333333333,67.8,7.333333333333333,2.6666666666666665,0.24866666666666665,0.3126,0.39666666666666667,0.7092666666666667,380.8,2.4,1.5333333333333334,2.466666666666667,8.6,1.1320000000000003,29.933333333333334,142.26666666666668,1.2,0.2830666666666667,0.14800000000000002,64.00533333333334,0.525,0.08086666666666668,0.18226666666666666,23
119.0,410.1818181818182,54.63636363636363,105.0,19.181818181818183,1.5454545454545454,15.363636363636363,52.81818181818182,43.81818181818182,99.18181818181819,4.909090909090909,2.090909090909091,0.2540909090909091,0.3322727272727273,0.41409090909090907,0.7463636363636362,462.72727272727275,4.454545454545454,1.3636363636363635,2.727272727272727,9.363636363636363,1.0345454545454549,36.09090909090909,173.36363636363637,3.090909090909091,0.30054545454545456,0.1600909090909091,40.623636363636365,0.47663636363636375,0.09518181818181817,0.2159090909090909,3
104.06666666666666,330.0,40.266666666666666,86.2,15.133333333333333,2.8666666666666667,10.0,38.13333333333333,26.333333333333332,65.4,9.466666666666667,3.3333333333333335,0.2552666666666667,0.3191333333333333,0.41800000000000004,0.7371333333333333,365.2,4.4,2.2666666666666666,2.2,7.266666666666667,1.1340000000000003,28.0,137.06666666666666,1.4666666666666666,0.2936666666666667,0.16280000000000003,49.284666666666666,0.45560000000000006,0.07513333333333332,0.1944,21
130.27272727272728,443.6363636363636,65.54545454545455,126.18181818181819,27.90909090909091,1.6363636363636365,11.090909090909092,63.81818181818182,39.18181818181818,80.9090909090909,3.272727272727273,1.7272727272727273,0.2752727272727273,0.3348181818181818,0.41654545454545455,0.7513636363636365,493.27272727272725,5.454545454545454,1.5454545454545454,3.4545454545454546,12.727272727272727,1.1445454545454545,40.63636363636363,190.63636363636363,3.1818181818181817,0.31590909090909086,0.14136363636363639,84.58363636363636,0.4606363636363637,0.07427272727272727,0.17099999999999999,2
93.4,319.0,36.0,78.66666666666667,18.4,1.1333333333333333,10.333333333333334,34.13333333333333,26.533333333333335,67.13333333333334,3.533333333333333,2.066666666666667,0.2502666666666667,0.31379999999999997,0.4180666666666666,0.7318666666666668,352.2,4.133333333333334,0.8,1.6,7.266666666666667,1.042,29.866666666666667,130.33333333333334,1.8,0.2892,0.168,31.662666666666667,0.4014666666666667,0.07406666666666667,0.20153333333333334,26
104.14285714285714,356.5,45.07142857142857,96.35714285714286,19.428571428571427,2.0,8.857142857142858,42.42857142857143,33.642857142857146,65.78571428571429,3.7142857142857144,2.7142857142857144,0.27007142857142863,0.3314285714285714,0.3985,0.7299285714285715,397.42857142857144,2.7857142857142856,1.2857142857142858,3.0,10.214285714285714,1.1728571428571428,30.285714285714285,146.35714285714286,3.5,0.3092857142857142,0.12842857142857148,68.175,0.5105714285714286,0.07892857142857143,0.16607142857142856,16
94.9375,303.1875,37.6875,82.4375,16.3125,0.9375,8.1875,35.8125,27.0625,62.25,4.6875,1.75,0.25625,0.3206875,0.388625,0.7093125,338.5625,3.25,2.25,2.6875,6.75,1.150625,25.4375,125.1875,2.8125,0.3045625,0.1323125,63.483125,0.4180625,0.0788125,0.1975,8
124.5,431.2,53.7,119.7,24.4,3.1,9.6,49.7,40.1,74.4,5.9,2.6,0.27540000000000003,0.3357,0.41109999999999997,0.7468000000000001,479.7,3.2,1.7,3.5,10.1,1.0459999999999998,37.1,179.1,3.2,0.31579999999999997,0.1356,83.652,0.5811,0.07969999999999998,0.1607,19
121.07692307692308,413.84615384615387,56.23076923076923,105.61538461538461,22.23076923076923,1.6923076923076923,13.076923076923077,54.38461538461539,42.23076923076923,96.53846153846153,8.76923076923077,2.6923076923076925,0.25084615384615383,0.3214615384615384,0.414,0.7354615384615386,466.46153846153845,3.8461538461538463,2.230769230769231,4.3076923076923075,8.0,1.0461538461538462,37.0,170.46153846153845,1.2307692307692308,0.29369230769230764,0.16330769230769232,35.291538461538465,0.4283076923076923,0.08761538461538464,0.21207692307692308,7
