PLAYER,POSITION,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,PA,HBP,SAC,SF,GIDP,GO/AO,XBH,TB,IBB,BABIP,ISO,AB/HR,BB/K,BB%,SO%
Kyle Wright,P,ATL,2,3,1,1,1,0,0,0,0,1,0,0,.333,.333,.667,1.000,3,0,0,0,0,1.00,1,2,0,.500,.333,-.--,.---,.000,.333
Ronald Acuna,RF,ATL,82,297,72,84,19,1,24,52,49,85,17,6,.283,.394,.596,.990,360,9,0,5,0,0.62,44,177,2,.311,.313,12.38,.576,.136,.236
Eddie Rosario,LF,ATL,33,96,13,26,4,2,7,16,9,14,2,1,.271,.330,.573,.903,106,0,0,1,1,0.68,13,55,0,.250,.302,13.71,.643,.085,.132
Austin Riley,3B,ATL,160,590,91,179,33,1,33,107,52,168,0,1,.303,.367,.531,.898,662,12,0,8,11,0.77,67,313,2,.368,.227,17.88,.310,.079,.254
Freddie Freeman,1B,ATL,159,600,120,180,25,2,31,83,85,107,8,3,.300,.393,.503,.896,695,8,0,2,11,1.07,58,302,15,.321,.203,19.36,.794,.122,.154
Jorge Soler,RF,ATL,55,208,36,56,11,0,14,33,29,45,0,0,.269,.358,.524,.882,242,1,0,2,3,1.04,25,109,0,.278,.255,14.86,.644,.120,.186
Josh Tomlin,P,ATL,36,3,0,1,0,0,0,0,1,1,0,0,.333,.500,.333,.833,5,0,1,0,0,1.00,0,1,0,.500,.000,-.--,1.000,.200,.200
Adam Duvall,LF,ATL,55,199,26,45,7,1,16,45,14,69,0,0,.226,.287,.513,.800,216,3,0,0,3,0.60,24,102,1,.254,.286,12.44,.203,.065,.319
Ozzie Albies,2B,ATL,156,629,103,163,40,7,30,106,47,128,20,4,.259,.310,.488,.798,686,3,0,7,4,0.57,77,307,2,.278,.229,20.97,.367,.069,.187
Dansby Swanson,SS,ATL,160,588,78,146,33,2,27,88,52,167,9,3,.248,.311,.449,.760,653,5,1,7,7,0.85,62,264,4,.297,.201,21.78,.311,.080,.256
Joc Pederson,RF,ATL,64,173,20,43,8,1,7,22,17,43,0,0,.249,.325,.428,.753,194,3,0,1,4,1.00,16,74,0,.290,.179,24.71,.395,.088,.222
Abraham Almonte,LF,ATL,64,148,20,32,12,0,5,19,26,38,1,1,.216,.331,.399,.730,175,0,0,1,2,1.08,17,59,0,.255,.182,29.60,.684,.149,.217
Ehire Adrianza,X,ATL,109,182,32,45,9,2,5,28,21,42,0,0,.247,.327,.401,.728,209,2,1,3,4,0.87,16,73,0,.290,.154,36.40,.500,.100,.201
William Contreras,C,ATL,52,163,19,35,4,1,8,23,19,54,0,0,.215,.303,.399,.702,185,2,0,1,3,1.34,13,65,1,.265,.184,20.38,.352,.103,.292
Jonathan Lucroy,C,ATL,2,5,2,1,0,0,0,1,3,2,0,0,.200,.500,.200,.700,9,0,1,0,0,0.50,0,1,0,.333,.000,-.--,1.500,.333,.222
Travis d'Arnaud,C,ATL,60,209,21,46,14,0,7,26,17,53,0,0,.220,.284,.388,.672,229,2,0,1,7,1.41,21,81,0,.260,.167,29.86,.321,.074,.231
Guillermo Heredia,CF,ATL,120,305,46,67,26,0,5,26,32,81,0,0,.220,.311,.354,.665,347,9,0,1,5,0.93,31,108,3,.282,.134,61.00,.395,.092,.233
