PLAYER,POSITION,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,PA,HBP,SAC,SF,GIDP,GO/AO,XBH,TB,IBB,BABIP,ISO,AB/HR,BB/K,BB%,SO%
Garrett Cleavinger,P,LAD,22,2,0,1,1,0,0,0,0,1,0,0,.500,.500,1.000,1.500,3,0,1,0,0,1.00,1,2,0,1.000,.500,-.--,.---,.000,.333
Justin Bruihl,P,LAD,21,0,0,0,0,0,0,0,1,0,0,0,.000,1.000,.000,1.000,1,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,1.000,.000
Trea Turner,2B,LAD,52,207,41,70,17,0,10,28,15,33,11,2,.338,.385,.565,.950,226,2,0,2,5,0.77,27,117,2,.361,.227,20.70,.455,.066,.146
Corey Seager,SS,LAD,95,353,54,108,22,3,16,57,48,66,1,1,.306,.394,.521,.915,409,5,0,3,8,1.22,41,184,2,.336,.215,22.06,.727,.117,.161
Max Muncy,1B,LAD,144,497,95,124,26,2,36,94,83,120,2,1,.249,.368,.527,.895,592,11,0,1,7,0.98,64,262,5,.257,.278,13.81,.692,.140,.203
AJ Pollock,LF,LAD,117,384,53,114,27,1,21,69,30,80,9,1,.297,.355,.536,.891,422,6,0,2,4,0.81,49,206,4,.326,.240,18.29,.375,.071,.190
Will Smith,C,LAD,130,414,71,107,19,2,25,76,58,101,3,0,.258,.365,.495,.860,501,18,0,11,11,0.60,46,205,4,.274,.237,16.56,.574,.116,.202
Mookie Betts,RF,LAD,122,466,93,123,29,3,23,58,68,86,10,5,.264,.367,.487,.854,550,11,0,5,5,0.67,55,227,2,.276,.223,20.26,.791,.124,.156
Justin Turner,3B,LAD,151,533,87,148,22,0,27,87,61,98,3,0,.278,.361,.471,.832,612,12,0,6,12,0.59,49,251,0,.292,.193,19.74,.622,.100,.160
Andy Burns,X,LAD,9,11,2,3,1,0,0,0,3,1,0,0,.273,.467,.364,.831,15,1,0,0,1,0.75,1,4,0,.300,.091,-.--,3.000,.200,.067
