PLAYER,POSITION,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,PA,HBP,SAC,SF,GIDP,GO/AO,XBH,TB,IBB,BABIP,ISO,AB/HR,BB/K,BB%,SO%
Adrian Houser,P,MIL,28,42,2,3,0,0,2,2,2,30,0,0,.071,.114,.214,.328,46,0,2,0,0,4.50,2,9,0,.100,.143,21.00,.067,.043,.652
Tim Lopes,X,MIL,7,10,1,1,0,0,0,0,1,4,0,1,.100,.182,.100,.282,11,0,0,0,0,0.00,0,1,0,.167,.000,-.--,.250,.091,.364
Brandon Woodruff,P,MIL,30,52,0,6,0,0,0,2,3,28,0,0,.115,.164,.115,.279,58,0,3,0,0,2.00,0,6,0,.250,.000,-.--,.107,.052,.483
Freddy Peralta,P,MIL,29,43,1,4,0,0,0,0,1,22,0,0,.093,.114,.093,.207,45,0,1,0,1,8.00,0,4,0,.190,.000,-.--,.045,.022,.489
Orlando Arcia,3B,MIL,4,11,0,1,0,0,0,1,0,3,0,0,.091,.091,.091,.182,11,0,0,0,0,1.33,0,1,0,.125,.000,-.--,.---,.000,.273
Brett Anderson,P,MIL,24,28,2,0,0,0,0,1,4,14,0,0,.000,.125,.000,.125,34,0,2,0,3,3.00,0,0,0,.000,.000,-.--,.286,.118,.412
John Axford,P,MIL,1,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Alec Bettinger,P,MIL,4,1,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,1,0,0,0,0,-.--,0,0,0,.---,.000,-.--,.---,.000,1.000
Phil Bickford,P,MIL,1,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Brad Boxberger,P,MIL,71,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Jake Cousins,P,MIL,30,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
John Curtiss,P,MIL,6,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
