PLAYER,POSITION,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,PA,HBP,SAC,SF,GIDP,GO/AO,XBH,TB,IBB,BABIP,ISO,AB/HR,BB/K,BB%,SO%
Justin Dunn,P,SEA,11,3,0,1,1,0,0,1,0,2,0,0,.333,.333,.667,1.000,3,0,0,0,0,-.--,1,2,0,1.000,.333,-.--,.---,.000,.667
Justus Sheffield,P,SEA,21,2,0,1,0,0,0,0,0,1,0,0,.500,.500,.500,1.000,2,0,0,0,0,-.--,0,1,0,1.000,.000,-.--,.---,.000,.500
Ty France,1B,SEA,152,571,85,166,32,1,18,73,46,106,0,0,.291,.368,.445,.813,650,27,0,6,13,0.96,51,254,1,.327,.154,31.72,.434,.071,.163
Mitch Haniger,RF,SEA,157,620,110,157,23,2,39,100,54,169,1,0,.253,.318,.485,.803,691,9,0,8,12,0.97,64,301,2,.281,.232,15.90,.320,.078,.245
Luis Torrens,DH,SEA,108,346,39,84,16,2,15,47,28,99,0,0,.243,.299,.431,.730,378,1,0,3,8,1.59,33,149,1,.294,.188,23.07,.283,.074,.262
Kyle Lewis,CF,SEA,36,130,15,32,4,0,5,11,16,37,2,0,.246,.333,.392,.725,147,1,0,0,1,0.49,9,51,0,.307,.146,26.00,.432,.109,.252
Kyle Seager,3B,SEA,159,603,73,128,29,1,35,101,59,161,3,1,.212,.285,.438,.723,670,4,0,4,7,0.58,65,264,2,.226,.226,17.23,.366,.088,.240
Jake Fraley,LF,SEA,78,214,27,45,7,0,9,36,46,71,10,2,.210,.352,.369,.721,265,2,1,2,3,0.98,16,79,1,.265,.159,23.78,.648,.174,.268
J.P. Crawford,SS,SEA,160,619,89,169,37,0,9,54,58,114,3,6,.273,.338,.376,.714,687,5,1,4,10,1.08,46,233,1,.320,.103,68.78,.509,.084,.166
Abraham Toro,2B,SEA,60,226,28,57,11,0,5,26,22,33,3,2,.252,.328,.367,.695,253,4,0,1,4,0.71,16,83,0,.275,.115,45.20,.667,.087,.130
Tom Murphy,C,SEA,97,277,35,56,8,0,11,34,40,99,0,0,.202,.304,.350,.654,325,2,0,3,8,0.76,19,97,0,.265,.148,25.18,.404,.123,.305
Donovan Walton,2B,SEA,24,63,6,13,2,1,2,7,4,15,1,0,.206,.254,.365,.619,69,0,2,0,1,1.31,5,23,0,.239,.159,31.50,.267,.058,.217
Shed Long,LF,SEA,34,111,13,22,4,1,4,17,9,39,1,0,.198,.258,.360,.618,121,0,1,0,3,3.25,9,40,0,.265,.162,27.75,.231,.074,.322
Jarred Kelenic,CF,SEA,93,337,41,61,13,1,14,43,36,106,6,4,.181,.265,.350,.615,377,3,0,1,5,1.06,28,118,0,.216,.169,24.07,.340,.095,.281
Taylor Trammell,CF,SEA,51,156,23,25,7,0,8,18,17,75,2,3,.160,.256,.359,.615,178,3,2,0,1,1.07,15,56,0,.233,.199,19.50,.227,.096,.421
Dylan Moore,2B,SEA,126,332,42,60,11,2,12,43,40,111,21,5,.181,.276,.334,.610,377,4,0,1,6,0.57,25,111,0,.229,.154,27.67,.360,.106,.294
Eric Campbell,3B,SEA,4,11,1,3,0,0,0,0,1,1,0,0,.273,.333,.273,.606,12,0,0,0,0,0.75,0,3,0,.300,.000,-.--,1.000,.083,.083
Jose Marmolejos,1B,SEA,41,106,11,17,4,0,4,12,15,39,0,0,.160,.262,.311,.573,122,0,0,1,0,0.55,8,33,0,.203,.151,26.50,.385,.123,.320
Jake Bauers,RF,SEA,72,182,20,40,4,0,2,13,18,51,6,0,.220,.297,.275,.572,202,2,0,0,1,0.40,6,50,0,.295,.055,91.00,.353,.089,.252
Sam Haggerty,LF,SEA,35,86,15,16,3,0,2,5,6,28,5,1,.186,.247,.291,.538,94,1,1,0,1,1.53,5,25,0,.250,.105,43.00,.214,.064,.298
Cal Raleigh,C,SEA,47,139,6,25,12,0,2,13,7,52,0,0,.180,.223,.309,.532,148,1,0,1,3,0.91,14,43,0,.267,.129,69.50,.135,.047,.351
Braden Bishop,LF,SEA,8,4,1,1,0,0,0,0,0,2,0,0,.250,.250,.250,.500,5,0,1,0,0,2.00,0,1,0,.500,.000,-.--,.---,.000,.400
Jacob Nottingham,DH,SEA,10,26,3,3,0,0,1,2,2,12,0,0,.115,.226,.231,.457,31,2,0,1,0,0.09,1,6,0,.143,.115,26.00,.167,.065,.387
Evan White,1B,SEA,30,97,8,14,3,0,2,9,6,31,0,0,.144,.202,.237,.439,104,1,0,0,1,0.86,5,23,0,.188,.093,48.50,.194,.058,.298
Jose Godoy,C,SEA,16,37,2,6,1,0,0,3,3,14,0,0,.162,.225,.189,.414,40,0,0,0,2,1.13,1,7,0,.261,.027,-.--,.214,.075,.350
Jack Mayfield,2B,SEA,12,34,2,6,1,0,0,3,1,10,0,0,.176,.200,.206,.406,35,0,0,0,2,0.80,1,7,0,.250,.029,-.--,.100,.029,.286
Tyler Anderson,P,SEA,13,2,0,0,0,0,0,0,1,2,0,0,.000,.333,.000,.333,3,0,0,0,0,-.--,0,0,0,.---,.000,-.--,.500,.333,.667
Dillon Thomas,LF,SEA,4,9,2,1,0,0,0,2,0,7,0,0,.111,.111,.111,.222,9,0,0,0,0,0.00,0,1,0,.500,.000,-.--,.---,.000,.778
Matt Andriese,P,SEA,8,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Diego Castillo,P,SEA,24,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
JT Chargois,P,SEA,31,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Sean Doolittle,P,SEA,11,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Robert Dugger,P,SEA,12,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Aaron Fletcher,P,SEA,4,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Chris Flexen,P,SEA,31,3,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,3,0,0,0,0,0.00,0,0,0,.000,.000,-.--,.---,.000,.000
Marco Gonzales,P,SEA,25,4,0,0,0,0,0,0,0,2,0,0,.000,.000,.000,.000,4,0,0,0,0,1.00,0,0,0,.000,.000,-.--,.---,.000,.500
Kendall Graveman,P,SEA,30,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
