PLAYER,POSITION,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,PA,HBP,SAC,SF,GIDP,GO/AO,XBH,TB,IBB,BABIP,ISO,AB/HR,BB/K,BB%,SO%
John Hicks,C,TEX,10,31,6,8,1,0,4,7,0,8,0,0,.258,.258,.677,.935,31,0,0,0,1,0.88,5,21,0,.211,.419,7.75,.---,.000,.258
Joey Gallo,RF,TEX,95,310,57,69,6,1,25,55,74,125,6,0,.223,.379,.490,.869,388,4,0,0,3,0.90,32,152,4,.275,.268,12.40,.592,.191,.322
Nathaniel Lowe,1B,TEX,157,557,75,147,24,3,18,72,80,162,8,0,.264,.357,.415,.772,642,2,0,3,13,1.61,45,231,2,.339,.151,30.94,.494,.125,.252
Andy Ibanez,2B,TEX,76,253,31,70,15,2,7,25,15,35,0,0,.277,.321,.435,.756,272,2,1,1,6,0.69,24,110,0,.297,.158,36.14,.429,.055,.129
Adolis Garcia,CF,TEX,149,581,77,141,26,2,31,90,32,194,16,5,.243,.286,.454,.740,622,5,0,4,15,0.88,59,264,0,.306,.212,18.74,.165,.051,.312
Willie Calhoun,LF,TEX,75,260,26,65,10,3,6,25,21,34,0,2,.250,.310,.381,.691,284,2,0,1,6,0.71,19,99,0,.267,.131,43.33,.618,.074,.120
Yohel Pozo,DH,TEX,21,74,8,21,4,0,1,9,3,10,0,0,.284,.312,.378,.690,77,0,0,0,1,0.54,5,28,0,.317,.095,74.00,.300,.039,.130
Charlie Culberson,3B,TEX,91,247,23,60,15,2,5,22,17,64,7,1,.243,.296,.381,.677,271,2,4,1,3,1.13,22,94,1,.307,.138,49.40,.266,.063,.236
Nick Solak,2B,TEX,127,458,57,111,18,2,11,49,34,107,7,5,.242,.314,.362,.676,511,15,2,2,11,1.46,31,166,0,.292,.120,41.64,.318,.067,.209
Isiah Kiner-Falefa,SS,TEX,158,635,74,172,25,3,8,53,28,90,20,5,.271,.312,.357,.669,677,11,1,2,11,1.38,36,227,2,.304,.087,79.38,.311,.041,.133
Dane Dunning,P,TEX,27,3,0,1,0,0,0,0,0,1,0,0,.333,.333,.333,.666,4,0,1,0,0,1.00,0,1,0,.500,.000,-.--,.---,.000,.250
DJ Peters,LF,TEX,52,197,24,39,7,1,12,34,4,68,2,0,.198,.218,.426,.644,206,2,0,3,4,0.79,20,84,0,.225,.228,16.42,.059,.019,.330
Jose Trevino,C,TEX,89,285,23,68,14,0,5,30,12,57,1,1,.239,.267,.340,.607,302,0,2,3,13,1.06,19,97,1,.279,.102,57.00,.211,.040,.189
Jason Martin,LF,TEX,58,144,14,30,3,0,6,17,8,41,3,1,.208,.248,.354,.602,154,0,1,1,1,1.08,9,51,0,.245,.146,24.00,.195,.052,.266
Jonah Heim,C,TEX,82,265,22,52,13,0,10,32,15,58,3,1,.196,.239,.358,.597,285,1,1,3,8,0.92,23,95,0,.210,.162,26.50,.259,.053,.204
Khris Davis,DH,TEX,22,51,8,8,1,1,2,5,8,16,0,0,.157,.262,.333,.595,61,0,0,2,2,1.64,4,17,0,.171,.176,25.50,.500,.131,.262
Brock Holt,3B,TEX,77,235,21,49,13,1,2,23,23,49,5,1,.209,.281,.298,.579,260,1,0,1,5,1.23,16,70,0,.254,.089,117.50,.469,.088,.188
David Dahl,LF,TEX,63,205,19,43,11,0,4,18,10,59,2,1,.210,.247,.322,.569,220,1,1,3,3,1.14,15,66,0,.269,.112,51.25,.169,.045,.268
Yonny Hernandez,3B,TEX,43,143,15,31,5,0,0,6,17,32,11,2,.217,.315,.252,.567,166,4,1,1,2,1.73,5,36,0,.277,.035,-.--,.531,.102,.193
Eli White,LF,TEX,64,198,26,35,6,1,6,15,18,66,4,3,.177,.259,.308,.567,220,4,0,0,2,0.64,13,61,0,.230,.131,33.00,.273,.082,.300
Leody Taveras,CF,TEX,49,174,14,28,6,2,3,9,9,60,10,1,.161,.207,.270,.477,185,1,1,0,3,1.42,11,47,0,.225,.109,58.00,.150,.049,.324
Ronald Guzman,1B,TEX,7,16,1,1,0,0,1,1,1,6,0,0,.063,.118,.250,.368,17,0,0,0,0,2.00,1,4,0,.000,.188,16.00,.167,.059,.353
Curtis Terry,DH,TEX,13,45,3,4,2,0,0,1,2,15,0,0,.089,.146,.133,.279,48,1,0,0,0,0.44,2,6,0,.133,.044,-.--,.133,.042,.313
Anderson Tejeda,3B,TEX,5,16,1,1,0,0,0,0,1,10,1,0,.063,.118,.063,.181,17,0,0,0,0,1.50,0,1,0,.167,.000,-.--,.100,.059,.588
Ryan Dorow,3B,TEX,3,6,0,0,0,0,0,0,1,3,0,0,.000,.143,.000,.143,7,0,0,0,0,0.50,0,0,0,.000,.000,-.--,.333,.143,.429
Kolby Allard,P,TEX,32,2,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,2,0,0,0,0,0.00,0,0,0,.000,.000,-.--,.---,.000,.500
Kohei Arihara,P,TEX,10,2,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,2,0,0,0,0,1.00,0,0,0,.000,.000,-.--,.---,.000,.500
Joe Barlow,P,TEX,31,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Wes Benjamin,P,TEX,13,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Jharel Cotton,P,TEX,23,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Demarcus Evans,P,TEX,25,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Mike Foltynewicz,P,TEX,28,2,0,0,0,0,0,0,0,2,0,0,.000,.000,.000,.000,2,0,0,0,0,-.--,0,0,0,.---,.000,-.--,.---,.000,1.000
Kyle Gibson,P,TEX,19,2,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,2,0,0,0,0,0.00,0,0,0,.000,.000,-.--,.---,.000,.500
Taylor Hearn,P,TEX,42,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Spencer Howard,P,TEX,8,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Ian Kennedy,P,TEX,32,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
John King,P,TEX,27,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,1,0,0,0,0,1.00,0,0,0,.000,.000,-.--,.---,.000,.000
Jordan Lyles,P,TEX,32,6,0,0,0,0,0,0,0,5,0,0,.000,.000,.000,.000,6,0,0,0,0,1.00,0,0,0,.000,.000,-.--,.---,.000,.833
Brett Martin,P,TEX,66,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Spencer Patton,P,TEX,42,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Joely Rodriguez,P,TEX,31,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Dennis Santana,P,TEX,39,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Josh Sborz,P,TEX,63,1,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,1,0,0,0,0,-.--,0,0,0,.---,.000,-.--,.---,.000,1.000
Hyeon-Jong Yang,P,TEX,12,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Brett de Geus,P,TEX,19,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
