PLAYER,POSITION,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,PA,HBP,SAC,SF,GIDP,GO/AO,XBH,TB,IBB,BABIP,ISO,AB/HR,BB/K,BB%,SO%
Austin Nola,C,SEA,29,98,15,30,5,1,5,19,9,17,0,0,.306,.373,.531,.904,110,2,0,1,1,0.86,11,52,1,.325,.224,19.60,.529,.082,.155
Dylan Moore,LF,SEA,38,137,26,35,9,0,8,17,14,43,12,5,.255,.358,.496,.854,159,8,0,0,4,0.79,17,68,0,.314,.241,17.12,.326,.088,.270
Ty France,2B,SEA,23,86,10,26,5,1,2,13,6,22,0,0,.302,.362,.453,.815,94,2,0,0,2,0.58,8,39,0,.387,.151,43.00,.273,.064,.234
Kyle Lewis,CF,SEA,58,206,37,54,3,0,11,28,34,71,5,1,.262,.364,.437,.801,242,0,0,2,5,0.93,14,90,0,.341,.175,18.73,.479,.140,.293
Kyle Seager,3B,SEA,60,203,35,49,12,0,9,40,32,33,5,0,.241,.355,.433,.788,248,7,0,6,4,0.69,21,88,3,.240,.192,22.56,.970,.129,.133
Sam Haggerty,LF,SEA,13,50,7,13,4,0,1,6,4,16,4,0,.260,.315,.400,.715,54,0,0,0,0,0.91,5,20,0,.364,.140,50.00,.250,.074,.296
Luis Torrens,C,SEA,18,59,5,15,4,0,1,6,6,13,0,0,.254,.323,.373,.696,65,0,0,0,1,0.94,5,22,0,.311,.119,59.00,.462,.092,.200
J.P. Crawford,SS,SEA,53,204,33,52,7,2,2,24,23,39,6,3,.255,.336,.338,.674,232,3,0,2,4,0.89,11,69,0,.303,.083,102.00,.590,.099,.168
Jose Marmolejos,LF,SEA,35,107,12,22,4,0,6,18,7,32,0,1,.206,.261,.411,.672,115,1,0,0,2,1.12,10,44,0,.232,.206,17.83,.219,.061,.278
Tim Lopes,DH,SEA,46,143,16,34,12,0,2,15,6,34,5,0,.238,.278,.364,.642,151,2,0,0,2,1.34,14,52,0,.299,.126,71.50,.176,.040,.225
Phillip Ervin,RF,SEA,18,39,5,8,3,0,0,4,8,14,0,0,.205,.340,.282,.622,47,0,0,0,1,0.89,3,11,0,.320,.077,-.--,.571,.170,.298
Evan White,1B,SEA,54,182,19,32,7,0,8,26,18,84,1,2,.176,.252,.346,.598,202,1,0,1,3,1.03,15,63,0,.264,.170,22.75,.214,.089,.416
Shed Long,2B,SEA,34,117,10,20,5,0,3,9,11,37,4,0,.171,.242,.291,.533,128,0,0,0,1,2.33,8,34,0,.221,.120,39.00,.297,.086,.289
Jake Fraley,RF,SEA,7,26,3,4,1,1,0,0,2,11,2,1,.154,.241,.269,.510,29,1,0,0,0,0.38,2,7,0,.267,.115,-.--,.182,.069,.379
Dee Strange-Gordon,2B,SEA,33,75,12,15,1,0,0,3,5,13,3,2,.200,.268,.213,.481,82,2,0,0,1,0.88,1,16,0,.242,.013,-.--,.385,.061,.159
Daniel Vogelbach,DH,SEA,18,53,3,5,1,0,2,4,11,13,0,0,.094,.250,.226,.476,64,0,0,0,1,1.19,3,12,1,.079,.132,26.50,.846,.172,.203
Braden Bishop,RF,SEA,12,30,2,5,2,0,0,4,2,10,1,0,.167,.242,.233,.475,34,1,1,0,0,1.67,2,7,0,.250,.067,-.--,.200,.059,.294
Donovan Walton,SS,SEA,5,13,0,2,1,0,0,3,1,5,0,1,.154,.214,.231,.445,14,0,0,0,1,2.00,1,3,0,.250,.077,-.--,.200,.071,.357
Joe Hudson,C,SEA,9,17,0,3,0,0,0,0,2,5,0,0,.176,.263,.176,.439,20,0,1,0,0,0.25,0,3,0,.250,.000,-.--,.400,.100,.250
Mallex Smith,RF,SEA,14,45,2,6,2,0,0,3,2,13,2,0,.133,.170,.178,.348,47,0,0,0,1,2.25,2,8,0,.188,.044,-.--,.154,.043,.277
Joseph Odom,C,SEA,18,39,2,5,0,0,0,2,4,20,0,0,.128,.209,.128,.337,44,0,1,0,1,0.88,0,5,0,.263,.000,-.--,.200,.091,.455
Dan Altavilla,P,SEA,13,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Taylor Williams,P,SEA,14,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
