PLAYER,POSITION,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,PA,HBP,SAC,SF,GIDP,GO/AO,XBH,TB,IBB,BABIP,ISO,AB/HR,BB/K,BB%,SO%
Sam Huff,C,TEX,10,31,5,11,3,0,3,4,2,11,0,0,.355,.394,.742,1.136,33,0,0,0,0,0.80,6,23,0,.471,.387,10.33,.182,.061,.333
Derek Dietrich,DH,TEX,25,61,9,12,1,0,5,8,9,21,1,1,.197,.347,.459,.806,75,5,0,0,4,1.00,6,28,0,.200,.262,12.20,.429,.120,.280
Ronald Guzman,1B,TEX,26,78,10,19,1,1,4,9,7,24,1,0,.244,.314,.436,.750,86,1,0,0,0,1.33,6,34,0,.300,.192,19.50,.292,.081,.279
Andrew Romine,SS,TEX,2,4,1,1,1,0,0,0,0,1,0,0,.250,.250,.500,.750,4,0,0,0,0,0.00,1,2,0,.333,.250,-.--,.---,.000,.250
Anderson Tejeda,SS,TEX,23,75,7,19,4,1,3,8,2,30,4,1,.253,.273,.453,.726,77,0,0,0,2,0.86,8,34,0,.381,.200,25.00,.067,.026,.390
Shin-Soo Choo,LF,TEX,33,110,13,26,3,0,5,15,13,33,6,2,.236,.323,.400,.723,127,2,0,2,1,1.41,8,44,1,.284,.164,22.00,.394,.102,.260
Jose Trevino,C,TEX,24,76,10,19,8,0,2,9,3,15,0,0,.250,.280,.434,.714,83,1,1,2,1,0.88,10,33,0,.279,.184,38.00,.200,.036,.181
Leody Taveras,CF,TEX,33,119,20,27,6,1,4,6,14,43,8,0,.227,.308,.395,.703,134,0,1,0,0,0.92,11,47,0,.319,.168,29.75,.326,.104,.321
Todd Frazier,1B,TEX,31,108,11,26,7,1,2,7,10,26,1,1,.241,.322,.380,.702,121,3,0,0,0,0.56,10,41,0,.300,.139,54.00,.385,.083,.215
Isiah Kiner-Falefa,3B,TEX,58,211,28,59,4,3,3,10,14,32,8,5,.280,.329,.370,.699,228,2,0,1,6,2.18,10,78,0,.316,.090,70.33,.438,.061,.140
Joey Gallo,RF,TEX,57,193,23,35,8,0,10,26,29,79,2,0,.181,.301,.378,.679,226,4,0,0,0,0.55,18,73,2,.240,.197,19.30,.367,.128,.350
Nick Solak,LF,TEX,58,209,27,56,10,0,2,23,18,42,7,1,.268,.326,.344,.670,233,2,0,4,6,0.89,12,72,0,.320,.077,104.50,.429,.077,.180
Rougned Odor,2B,TEX,38,138,15,23,4,0,10,30,7,47,0,1,.167,.209,.413,.622,148,1,0,2,2,0.71,14,57,0,.157,.246,13.80,.149,.047,.318
Elvis Andrus,SS,TEX,29,103,11,20,5,0,3,7,8,15,3,1,.194,.252,.330,.582,111,0,0,0,5,1.19,8,34,0,.200,.136,34.33,.533,.072,.135
Jeff Mathis,C,TEX,24,62,6,10,1,1,3,9,5,24,1,0,.161,.221,.355,.576,68,0,0,1,0,0.61,5,22,0,.194,.194,20.67,.208,.074,.353
Danny Santana,1B,TEX,15,55,6,8,4,0,1,7,7,24,2,0,.145,.238,.273,.511,63,0,0,1,1,1.18,5,15,0,.226,.127,55.00,.292,.111,.381
Rob Refsnyder,DH,TEX,15,30,4,6,1,0,0,1,2,11,0,0,.200,.265,.233,.498,34,1,0,1,0,1.33,1,7,0,.300,.033,-.--,.182,.059,.324
Willie Calhoun,DH,TEX,29,100,3,19,2,1,1,13,5,17,0,0,.190,.231,.260,.491,108,1,0,2,1,0.74,4,26,0,.214,.070,100.00,.294,.046,.157
Eli White,LF,TEX,19,48,5,9,2,0,0,3,3,16,1,1,.188,.231,.229,.460,52,0,0,1,0,0.85,2,11,0,.273,.042,-.--,.188,.058,.308
Scott Heineman,CF,TEX,24,52,6,8,3,0,1,7,2,11,3,0,.154,.185,.269,.454,54,0,0,0,1,0.94,4,14,0,.175,.115,52.00,.182,.037,.204
Robinson Chirinos,C,TEX,14,42,3,5,1,0,0,2,5,12,0,0,.119,.224,.143,.367,49,1,0,1,3,1.17,1,6,0,.161,.024,-.--,.417,.102,.245
Sherten Apostel,1B,TEX,7,20,1,2,1,0,0,0,1,9,0,0,.100,.143,.150,.293,21,0,0,0,0,8.00,1,3,0,.182,.050,-.--,.111,.048,.429
Adolis Garcia,LF,TEX,3,6,0,0,0,0,0,0,1,4,0,0,.000,.143,.000,.143,7,0,0,0,0,1.00,0,0,0,.000,.000,-.--,.250,.143,.571
Yadiel Rivera,SS,TEX,4,5,0,0,0,0,0,0,0,1,1,0,.000,.000,.000,.000,5,0,0,0,0,1.00,0,0,0,.000,.000,-.--,.---,.000,.200
