PLAYER,POSITION,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG
Mike Leake,P,SF,12,17,1,1,0,0,1,3,0,11,0,0,.059,.059,.235,.294,17,0,0,0,0,0.67,1,4,0,.000,.176,17.00,.---,.000,.647
Travis Ishikawa,X,SF,6,5,1,0,0,0,0,0,1,3,0,0,.000,.167,.000,.167,6,0,0,0,0,1.00,0,0,0,.000,.000,-.--,.333,.167,.500
Jeremy Affeldt,P,SF,52,2,0,0,0,0,0,0,0,2,0,0,.000,.000,.000,.000,2,0,0,0,0,-.--,0,0,0,.---,.000,-.--,.---,.000,1.000
Brett Bochy,P,SF,4,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Mike Broadway,P,SF,21,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Matt Cain,P,SF,13,16,0,0,0,0,0,1,0,9,0,0,.000,.000,.000,.000,20,0,3,1,0,1.20,0,0,0,.000,.000,-.--,.---,.000,.450
Santiago Casilla,P,SF,67,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Cory Gearrin,P,SF,7,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Cody Hall,P,SF,7,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
George Kontos,P,SF,73,2,0,0,0,0,0,0,0,2,0,0,.000,.000,.000,.000,3,0,1,0,0,1.00,0,0,0,.---,.000,-.--,.---,.000,.667
Javier Lopez,P,SF,77,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,1,0,1,0,0,1.00,0,0,0,.---,--,-.--,.---,.000,.000
Jean Machi,P,SF,33,3,0,0,0,0,0,0,0,2,0,0,.000,.000,.000,.000,3,0,0,0,0,1.00,0,0,0,.000,.000,-.--,.---,.000,.667
Josh Osich,P,SF,35,1,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,3,0,2,0,0,2.00,0,0,0,.---,.000,-.--,.---,.000,.333
Yusmeiro Petit,P,SF,42,9,1,0,0,0,0,0,0,3,0,0,.000,.000,.000,.000,10,0,1,0,0,6.00,0,0,0,.000,.000,-.--,.---,.000,.300
Sergio Romo,P,SF,70,2,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,2,0,0,0,0,1.00,0,0,0,.000,.000,-.--,.---,.000,.500
Hunter Strickland,P,SF,55,1,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,1,0,0,0,0,-.--,0,0,0,.---,.000,-.--,.---,.000,1.000
