PLAYER,POSITION,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG
David Goforth,P,MIL,20,3,0,0,0,0,0,0,0,3,0,0,.000,.000,.000,.000,0,0,3,0,0,.000,.000,.000,.000,MIL,20,3,0,0,0
Preston Guilmet,P,MIL,2,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,3,0,0,.000,.000,.000,.000,MIL,2,0,0,0
Adrian Houser,P,MIL,2,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,.000,.000,.000,MIL,2,0,0
Jeremy Jeffress,P,MIL,72,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,0,0,.000,.000,.000,.000,MIL,72,0
Cesar Jimenez,P,MIL,16,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,MIL,16
Brandon Kintzler,P,MIL,7,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,MIL
Corey Knebel,P,MIL,48,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
Jorge Lopez,P,MIL,2,2,0,0,0,0,0,0,0,2,0,0,.000,.000,.000,.000,48,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
Ariel Pena,P,MIL,6,7,0,0,0,0,0,0,0,6,0,0,.000,.000,.000,.000,MIL,2,2,0,0,0,0,0,0,0,2,0,0,.000,.000
Francisco Rodriguez,P,MIL,60,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,MIL,6,7,0,0,0,0,0,0,0,6,0,0,.000
Will Smith,P,MIL,76,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,MIL,60,0,0,0,0,0,0,0,0,0,0,0
Tyler Thornburg,P,MIL,24,3,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,.000,.000,.000,MIL,76,0,0,0,0,0,0,0,0,0,0
Tyler Wagner,P,MIL,3,3,0,0,0,0,0,0,0,2,0,0,.000,.000,.000,.000,.000,.000,.000,.000,MIL,24,3,0,0,0,0,0,0,0,1
Rob Wooten,P,MIL,4,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,.000,.000,.000,.000,MIL,3,3,0,0,0,0,0,0,0
